1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
729	3.814	98.0942	2616029532.00
730	3.832	72.965	-2616540526.00
731	4.2038	74.4254	2619163530.00
732	3.3423	73.3924	-2624605112.00
733	3.8197	74.7794	-2625892746.00
734	3.5549	70.9522	2627609390.00
735	3.7302	62.4707	2629792150.00
736	4.0086	62.5605	2630292560.00
737	3.3672	60.8667	-2632219584.00
738	3.743	101.4313	2639365364.00
739	3.922	77.9582	2653442681.00
740	3.4447	100.522	2656453682.00
741	3.387	68.5886	2695906560.00
742	3.553	75.679	-2700775676.00
743	3.6222	80.4627	-2716883872.00
744	3.4418	92.1132	2718350336.00
745	5.2109	72.5643	-2724647168.00
746	3.6336	66.3455	2742639340.00
747	3.3645	72.7007	2745228486.00
748	3.6342	81.317	-2771447552.00
749	3.4028	60.6923	2792894852.00
750	3.4158	70.6096	-2817034020.00
751	3.895	63.3366	2834327740.00
752	3.5192	68.586	2848849022.00
753	3.6403	64.6355	-2863055012.00
754	3.8266	74.7504	2870036228.00
755	5.2029	72.6363	2929570379.00
756	3.7285	70.7352	2941727492.00
757	3.7185	75.8309	-2945869940.00
758	3.7813	69.9752	2951919384.00
759	3.4644	99.5717	2954898860.00
760	4.0006	69.8536	-2970635178.00
761	3.6785	98.0255	-2970988052.00
762	3.3563	70.9343	2982247360.00
763	3.4348	62.3904	2989074146.00
764	3.3361	76.8442	-3048482284.00
765	3.6341	72.8496	3063767620.00
766	3.9277	61.0386	3065043262.00
767	3.8058	76.0937	-3079446144.00
768	3.1536	69.6798	-3080394804.00
769	3.2387	75.7653	3082672156.00
770	3.8232	70.0976	3096878000.00
771	3.9171	97.2001	3116648528.00
772	4.556	74.2132	3146523140.00
773	3.8003	65.3677	3147736920.00
774	3.4352	92.0828	-3179954752.00
775	3.4766	69.5117	3188378212.00
776	3.4367	72.6766	3218489216.00
777	3.8079	66.469	-3218580460.00
778	3.8297	75.9035	3233772208.00
779	3.7199	80.7144	3255617116.00
780	3.9046	66.4232	3268489182.00
781	3.7603	92.1071	3301620058.00
782	3.8894	81.9828	-3341361212.00
783	3.3585	95.9225	-3345114172.00
784	3.7439	75.9831	3345268536.00
785	4.035	76.305	-3354254868.00
786	3.5845	75.7855	-3357155362.00
787	3.7048	68.6096	3389470616.00
788	3.5735	71.2501	-3401757648.00
789	5.2332	72.6775	-3407168758.00
790	3.3314	74.2182	3451144046.00
791	3.7234	74.68	-3455890722.00
792	3.7342	92.0549	-3480042268.00
793	3.3731	60.8684	3503689272.00
794	4.0076	69.7854	-3518948248.00
795	3.7593	62.484	-3524600820.00
796	3.4151	72.5906	-3530551624.00
797	3.3541	74.0105	3531848020.00
798	3.3799	95.8371	3532602260.00
799	3.4303	75.5891	3540749756.00
800	3.4644	72.4977	-3543098780.00
801	3.7501	71.4311	3550732800.00
802	3.6922	80.7159	-3575378840.00
803	3.9932	75.453	-3578621058.00
804	3.4954	66.5684	-3589473530.00
805	5.2256	72.6664	3634122668.00
806	3.3575	60.6648	3656324784.00
807	3.9718	69.9053	-3659937396.00
808	3.6885	68.6591	-3664996104.00
809	3.2748	71.4791	-3684942312.00
810	3.801	72.6112	-3702265110.00
811	3.6371	75.7851	3704046680.00
812	3.4314	95.8993	3711294852.00
813	3.7128	68.6225	-3724278644.00
814	3.7727	62.4852	3725049610.00
815	3.6335	75.9433	-3728480648.00
816	4.0587	75.3656	-3759757980.00
817	3.3428	72.5315	-3765795896.00
818	3.9192	61.2183	-3767072612.00
819	3.7285	97.929	3806415296.00
820	3.7256	75.9667	3816772540.00
821	3.4085	75.7154	-3827155104.00
822	3.757	75.9448	3851430936.00
823	3.7658	101.4934	3861182388.00
824	3.7122	80.7153	3862866984.00
825	3.7401	71.4656	-3894802096.00
826	3.7759	98.0102	3901383990.00
827	3.7762	69.4456	-3906164588.00
828	2.9975	74.183	-3940567780.00
829	3.7766	70.3222	3942214486.00
830	3.5498	98.009	-3944907818.00
831	3.7063	63.9009	3945055616.00
832	3.7506	75.9227	-3972295252.00
833	3.8204	75.809	3973184428.00
834	3.9133	63.4066	3988955814.00
835	3.5112	68.6433	-4005547492.00
836	3.8464	67.6213	-4026552944.00
837	3.7382	62.5053	-4029342288.00
838	3.4466	97.8276	4079308816.00
839	3.3394	74.1862	-4121162268.00
840	3.4639	63.434	4128100080.00
841	3.9043	63.3991	-4146704074.00
842	3.1306	69.5609	4167688624.00
843	3.786	98.0637	-4178583302.00
844	3.4265	62.4263	-4187658472.00
845	3.952	70.4793	-4192568410.00
846	3.5415	66.5132	-4219286552.00
847	3.7499	92.1289	-4228851716.00
848	3.3001	72.661	4261878212.00
849	3.3741	95.9084	4271673612.00
850	3.8335	98.0416	-4273457864.00
851	3.783	71.5952	4303461120.00
852	3.8747	68.6606	4317671792.00
853	3.4559	100.4739	-4323861062.00
854	3.7351	72.8319	-4333461160.00
855	3.3966	75.7331	4342232096.00
856	3.4537	96.9668	4365935376.00
857	5.1489	71.5015	-4368784552.00
858	3.6328	63.4659	-4374281064.00
859	3.7418	92.1375	4389615456.00
860	3.4961	68.6524	-4415348168.00
861	3.5775	81.9202	-4427135684.00
862	3.7752	65.304	4468314342.00
863	3.7889	72.742	-4479690556.00
864	3.4247	95.9235	-4537921772.00
865	3.7596	72.6632	4580322700.00
866	3.7719	71.3588	4602007088.00
867	3.929	81.7407	4710512086.00
868	3.836	75.9131	-4723902896.00
869	3.7975	98.0649	-4739538248.00
870	3.8043	98.0137	4745661828.00
871	3.8011	70.1408	4769276260.00
872	3.7658	71.4517	-4839637696.00
873	3.3861	75.8182	-4987352944.00
874	3.4122	62.3643	-4989203984.00
875	3.9005	61.0714	5027335156.00
876	4.5785	75.8469	-5117475184.00
877	3.3483	69.7041	5119059836.00
878	3.7535	101.4633	5134008152.00
879	4.0171	80.8202	-5137702052.00
880	3.3283	72.8903	-5146694444.00
881	4.0337	104.4089	-5177338220.00
882	3.913	98.0257	5180662572.00
883	3.7503	72.7239	-5186257168.00
884	3.3746	75.8049	5223420312.00
885	3.6252	97.02	5224438320.00
886	4.5646	74.1677	-5260834028.00
887	3.9181	81.8695	-5261719840.00
888	3.7856	68.6583	-5284770664.00
889	3.7314	80.5776	5289830304.00
890	3.9228	63.4397	-5291234892.00
891	3.1379	69.6308	-5295683380.00
892	3.6852	63.8569	-5344040376.00
893	3.6406	66.2523	-5395216520.00
894	3.6045	63.5076	-5437203768.00
895	3.4986	69.5008	-5443503232.00
896	3.6817	71.2797	-5447369688.00
897	3.6186	67.5667	-5486338072.00
898	3.3672	95.9023	-5677693144.00
899	3.5614	81.7833	-5751095868.00
900	3.4415	72.7547	-5757842504.00
901	3.7596	101.5015	-5848756856.00
902	3.4667	101.5972	5851577496.00
903	3.7427	72.6896	5857994964.00
904	3.6182	63.4796	-5871529128.00
905	4.0344	80.7349	-5893293956.00
906	3.6854	98.061	-5894406052.00
907	3.6944	71.2698	6069668500.00
908	3.9338	67.7353	6088328168.00
909	3.3169	72.8239	6095029904.00
910	3.3872	95.893	-6109097232.00
911	3.2466	75.7338	-6135256368.00
912	3.3706	74.2151	-6250598536.00
913	3.7442	69.721	-6259828508.00
914	3.9137	67.7562	6337480656.00
915	3.2228	75.6816	-6343849976.00
916	4.0148	104.4416	-6458045100.00
917	3.4746	75.4781	-6476748424.00
918	4.0136	75.9311	-6535548176.00
919	3.6464	63.3106	-6535704376.00
920	3.7915	75.9116	6565515672.00
921	4.0879	69.1117	6612555122.00
922	3.9008	81.8591	6620884064.00
923	3.4905	75.4085	6638811748.00
924	3.2776	75.8116	6661837688.00
925	4.026	80.7398	6758425324.00
926	3.8098	69.3324	-6793559008.00
927	3.6005	74.3834	-6829895888.00
928	3.7882	70.5588	-6845398536.00
929	3.7525	62.4503	6936466736.00
930	3.7587	69.5841	6997349256.00
931	3.6415	99.0575	-6999788928.00
932	3.6058	97.1278	-7001284784.00
933	3.7733	74.3973	-7013067132.00
934	3.7816	72.8808	7034580120.00
935	3.615	74.5186	7071461160.00
936	3.3526	75.759	7096751488.00
937	3.1458	75.7406	7129008544.00
938	3.3673	75.7815	-7167712368.00
939	3.8094	72.6669	7168776016.00
940	3.5614	74.4427	7303074528.00
941	3.395	95.904	7352199568.00
942	4.5492	74.2338	-7416549672.00
943	3.4957	97.0712	-7450741864.00
944	3.9927	69.5676	7580122840.00
945	3.6178	71.5915	7619527220.00
946	4.5715	74.146	7645847272.00
947	3.5833	74.5739	7711726304.00
948	3.5088	98.0397	-7757283772.00
949	3.6697	71.4611	-7760311368.00
950	4.0247	104.4283	7875606620.00
951	3.4826	75.3956	7931732136.00
952	3.6415	97.0139	-8002239160.00
953	3.9452	98.0586	8003466312.00
954	3.4705	69.593	-8110502488.00
955	3.8272	98.0301	8131182888.00
956	3.8208	98.0406	-8187955272.00
957	3.8148	68.9365	8191211464.00
958	3.2901	71.4209	-8216648436.00
959	3.5765	74.5318	-8262290288.00
960	4.0237	76.2431	8268683352.00
961	3.1349	95.9128	-8344610832.00
962	3.4062	95.9095	-8440643840.00
963	3.6061	98.9942	-8478586408.00
964	3.4582	72.746	8561926960.00
965	3.3482	60.644	-8575234044.00
966	3.4857	69.6577	-8580989968.00
967	3.5351	75.4631	-8725439632.00
968	3.188	75.7917	-8735413768.00
969	3.6058	75.7178	8827554024.00
970	3.5682	74.5244	-8858555992.00
971	3.7289	64.054	8911844624.00
972	3.6637	75.8921	-8934519472.00
973	3.5041	75.4022	9056519024.00
974	4.543	75.8672	9095323416.00
975	3.1719	75.7649	-9145877888.00
976	5.1344	72.8309	9177527980.00
977	3.7157	98.0336	9199094936.00
978	3.3429	60.8771	-9252873840.00
979	3.7139	74.464	9262341112.00
980	3.534	67.6849	-9339388912.00
981	3.3406	71.4765	9504142608.00
982	3.6052	67.544	-9749419168.00
983	3.6511	71.3724	-9862956312.00
984	3.7516	69.5985	9887379648.00
985	3.535	101.4958	-10051802352.00
986	3.5191	67.6801	-10093860120.00
987	4.5566	75.8923	10221333552.00
988	3.9803	69.7784	-10468087432.00
989	3.4314	72.9813	-10486106664.00
990	3.5931	74.476	10649565440.00
991	3.6633	69.3597	-10839800442.00
992	3.7056	80.6543	-10907180928.00
993	3.6989	80.6768	10916293912.00
994	3.5778	104.4728	-11041197440.00
995	4.0488	75.4158	11134217028.00
996	5.1468	72.7079	-11237636616.00
997	3.6113	63.4394	11338135888.00
998	3.6073	74.5568	-11452915568.00
999	3.3083	71.4174	-11455244928.00
1000	3.3351	60.7383	11628808064.00
1001	3.7445	74.3651	11732611680.00
1002	3.6395	63.4315	11798312384.00
1003	3.9023	69.7334	-11988185076.00
1004	3.1658	95.9093	11992174488.00
1005	5.1535	72.8193	12037233472.00
1006	3.1917	95.8953	-12188350512.00
1007	3.4925	69.7028	12533787488.00
1008	4.0031	75.4877	12739155216.00
1009	3.5213	75.3879	-12740922096.00
1010	3.475	101.5114	-12861874016.00
1011	3.1388	75.7392	-12864106704.00
1012	3.5412	67.477	12876810912.00
1013	3.4573	69.7024	-13002613872.00
1014	3.5119	67.6536	13013378912.00
1015	3.3649	69.5951	-13031424756.00
1016	3.7962	67.5437	13045444816.00
1017	3.3067	60.7074	-13099539008.00
1018	3.7671	69.625	-13249702336.00
1019	5.131	71.4233	13259786560.00
1020	3.8362	69.4853	-13327714688.00
1021	3.4405	75.3779	13409132608.00
1022	3.5699	81.8921	13476125960.00
1023	3.7365	74.3913	-13555861024.00
1024	3.633	67.5993	-13728782160.00
1025	4.5647	75.8582	-13783263264.00
1026	3.4146	74.1766	14038365296.00
1027	3.3489	71.3823	-14069465072.00
1028	3.3962	74.1607	14121675536.00
1029	3.4518	72.7685	-14192231088.00
1030	3.6135	75.9149	-14338320936.00
1031	3.5609	104.4417	-14597577952.00
1032	3.6565	75.9281	14733655184.00
1033	3.7222	98.017	-14787170784.00
1034	5.16	72.78	-14836669272.00
1035	3.4242	73.0008	14893981040.00
1036	3.4894	101.4717	14934051240.00
1037	3.3278	60.6422	-15020347168.00
1038	3.1651	75.7401	15041532656.00
1039	3.1759	95.9028	15092685032.00
1040	3.3878	74.1586	-15143615536.00
1041	3.8237	67.5108	-15320384128.00
1042	3.1434	95.9159	-15370622144.00
1043	3.6997	74.4922	15572118784.00
1044	3.8204	67.7922	15693369632.00
1045	3.5039	101.4091	15696672864.00
1046	3.6119	67.7056	15983488112.00
1047	3.1298	75.7462	16069677104.00
1048	3.5918	80.7875	16160391824.00
1049	3.4554	75.4302	16294523856.00
1050	3.4229	74.0184	-16517141920.00
1051	3.2995	71.4107	16815255488.00
1052	3.2975	60.6849	16828099768.00
1053	3.464	69.7285	17097098592.00
1054	3.3791	69.6017	17128184304.00
1055	3.6925	98.0487	17901858560.00
1056	3.433	69.5616	17937665552.00
1057	3.604	80.6623	-18082975520.00
1058	3.1839	95.8965	18185425872.00
1059	3.6464	67.6361	-18291562368.00
1060	3.1273	95.9146	18398392544.00
1061	3.4322	74.031	18557375056.00
1062	5.1621	71.4196	-18637278912.00
1063	5.1548	71.4188	18734022640.00
1064	3.2879	60.746	-18744521840.00
1065	3.654	69.0594	-18877227568.00
1066	3.6143	80.6042	18947983360.00
1067	3.5212	101.4914	-18997292800.00
1068	3.7152	63.9004	19039531536.00
1069	3.8208	68.9315	-19056060528.00
1070	3.6435	75.947	-19146839280.00
1071	3.5623	80.7397	19150844656.00
1072	3.6991	98.0764	-19232418112.00
1073	4.0182	62.5368	-19403009408.00
1074	3.8044	69.1113	19452188512.00
1075	3.4975	75.4062	-19548924032.00
1076	3.6269	75.9488	19561828800.00
1077	3.9294	98.0632	19588960848.00
1078	3.8932	69.6276	19722399872.00
1079	3.575	80.6476	-19847326624.00
1080	4.0278	75.3967	-19959189984.00
1081	3.779	67.6038	-19974909840.00
1082	3.4137	69.6073	20100254816.00
1083	3.7061	74.4305	-20124135216.00
1084	3.316	60.7291	20393877536.00
1085	4.5717	75.8497	20715514000.00
1086	4.0332	62.5152	-20860558960.00
1087	5.1389	71.4144	-20980877856.00
1088	4.5499	75.8596	-21142775616.00
1089	3.6594	71.4218	21215747680.00
1090	3.9434	69.2158	21220249432.00
1091	3.1535	95.9045	-21299337880.00
1092	3.5283	75.405	21691713408.00
1093	3.4571	101.4341	21756188224.00
1094	3.6817	69.6364	-21866199152.00
1095	3.1792	75.7352	22111266624.00
1096	3.3286	71.403	-22158410656.00
1097	3.4382	101.489	22388041424.00
1098	3.3745	69.6046	22426046320.00
1099	3.3867	69.5826	-22579353216.00
1100	4.0223	74.4153	22653129416.00
1101	3.8275	69.1686	22775796208.00
1102	3.8826	67.6204	23107616048.00
1103	3.9114	69.3121	23108327776.00
1104	3.6312	71.478	-24183832528.00
1105	3.4203	69.6017	-24203038720.00
1106	3.3795	74.1684	24375554544.00
1107	3.1538	75.7391	-24403059600.00
1108	3.9213	98.057	-24927544192.00
1109	3.6498	98.0397	25068897216.00
1110	3.3195	71.3928	26425519920.00
1111	3.9623	98.0613	26462810576.00
1112	4.0433	74.4526	-27254736752.00
1113	3.7982	69.1534	-27399331232.00
1114	3.9265	67.603	-27521482336.00
1115	3.8932	67.5735	27547578928.00
1116	3.6997	63.8808	-27673694560.00
1117	4.0293	74.4508	28038084864.00
1118	3.7347	69.6918	28934539648.00
1119	3.6398	67.6863	28967778176.00
1120	3.7916	69.38	29219660064.00
1121	3.3257	75.8943	-29350498496.00
1122	3.2983	75.8952	29967507808.00
1123	3.6566	98.0572	-30033107984.00
1124	3.7865	67.6149	30106517056.00
1125	3.7223	63.8968	-30177701824.00
1126	4.007	74.4654	-30213167680.00
1127	3.4064	74.1614	-30415328112.00
1128	3.5281	101.4892	31138915552.00
1129	3.5697	104.4322	31283325600.00
1130	3.6928	63.9003	31310458432.00
1131	3.8749	67.6256	-31393321792.00
1132	3.4972	101.4467	-32508126560.00
1133	3.448	75.3934	-34433612032.00
1134	3.9047	67.558	-34532596208.00
1135	3.3059	75.8973	-34869676640.00
1136	3.4713	67.5985	-35032729664.00
1137	3.3443	75.8679	-36061101536.00
1138	3.8012	67.5802	-36351052992.00
1139	3.9542	98.0601	-37812900224.00
1140	3.3332	75.8386	37981507328.00
1141	3.4998	67.5793	-38155573344.00
1142	3.8368	67.5704	-38525830336.00
1143	4.0259	62.4443	38828062208.00
1144	3.4472	101.4897	-39723224480.00
1145	3.2868	75.8721	-41237227024.00
1146	3.4725	98.0618	-43598736416.00
1147	3.4065	69.582	-45041143648.00
1148	3.3936	69.5964	45366271008.00
1149	3.5911	98.0519	-45764300560.00
1150	3.4853	67.5636	-46393616768.00
1151	3.8146	67.5991	-48827090624.00
1152	3.8298	67.5581	51842398592.00
1153	3.7216	69.484	-53710484272.00
1154	3.3147	75.8705	56389997248.00
1155	3.9628	69.2584	58083336832.00
1156	3.5006	98.0577	-61120997184.00
1157	3.5923	69.4185	-65194157776.00
1158	3.4568	67.5655	-65841663040.00
1159	3.7268	69.7046	-66441190272.00
1160	3.7121	69.6717	69973129152.00
1161	3.9307	69.2155	73602251136.00
1162	3.6905	69.6545	76532974912.00
1163	3.8078	67.56	79477527488.00
1164	3.705	69.6862	-80136655808.00
1165	3.4832	98.0661	-86141961344.00
1166	3.9534	69.2367	-88193551264.00
1167	3.4925	67.5632	89998564928.00
1168	3.624	98.0458	-92567749792.00
1169	3.6085	69.4487	95038185968.00
1170	3.64	69.4067	99513420544.00
1171	3.611	98.0505	100717241024.00
1172	3.9214	69.2375	101119530240.00
1173	3.4641	67.5671	104426587392.00
1174	3.455	98.0586	-108529351296.00
1175	3.6247	69.5328	-122585622336.00
1176	3.6397	98.0625	132412217344.00
1177	3.4923	98.0646	138064923136.00
1178	3.4641	98.0646	156415295360.00
