1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
173	3.457	59.0417	-813505409.00
174	3.9198	104.5371	-813883293.00
175	3.8468	69.6661	-814858435.00
176	3.7099	61.096	815293409.30
177	3.4154	71.3719	815664775.00
178	4.0291	61.2565	-818937994.50
179	5.157	69.4889	-820074766.50
180	3.3281	59.5366	820535595.00
181	3.6667	74.804	820657563.00
182	3.3639	68.3508	821254514.50
183	5.2305	76.6331	-823678230.50
184	3.967	60.6315	825230527.50
185	3.7071	77.4872	826527682.00
186	3.1791	72.5064	828048398.00
187	3.6025	88.2068	830231739.50
188	3.6075	61.6251	830289299.50
189	3.9301	64.1886	830395596.00
190	3.9623	77.1852	-831726330.00
191	3.9257	85.0122	831958857.00
192	4.1385	75.2278	-832204289.30
193	3.5961	82.0834	-834118038.00
194	3.706	73.3485	836692822.00
195	3.9415	80.7786	837151154.00
196	3.487	53.8766	837656923.50
197	3.8237	59.7465	-839326729.00
198	3.866	60.9094	839685348.00
199	3.6917	67.6896	-843212051.50
200	3.6401	100.1037	-843602557.00
201	3.5697	79.327	843753753.00
202	3.7625	81.3373	-843927830.00
203	3.4682	71.4092	-847262458.00
204	3.6409	91.9188	-848738540.00
205	3.6437	54.9455	849226864.00
206	4.0139	73.1301	-849340945.50
207	3.6118	85.0623	-850778871.00
208	3.8297	82.3098	-850949308.50
209	3.4938	61.9974	-851157694.00
210	3.6256	106.4253	852150283.00
211	5.1172	71.8113	852935888.00
212	3.8773	71.4766	853575136.50
213	3.5855	99.1559	854217943.00
214	3.454	103.8268	-855413106.50
215	3.9045	75.1757	-856429194.00
216	3.9299	77.2752	-859239422.50
217	5.3651	92.1458	861148413.50
218	3.9075	64.5009	861169887.00
219	3.4932	65.5755	-861649248.00
220	3.9364	78.0034	-861971180.50
221	3.1275	74.768	-862290847.00
222	3.8203	58.5435	862677279.00
223	3.4463	99.3809	864259057.50
224	3.4633	103.59	865497778.00
225	3.6367	46.5069	-865699720.00
226	3.7183	65.147	-868490268.00
227	3.3517	59.5892	869687688.00
228	4.1843	96.8811	-871145817.50
229	3.9849	72.2353	-871791638.00
230	4.2684	80.6653	872145472.80
231	5.2306	80.4116	-873363809.00
232	3.6599	74.8689	-875275561.00
233	3.4939	48.2563	-877089083.00
234	3.8161	59.1528	880495635.50
235	3.6271	96.0629	881030530.80
236	3.4471	71.4382	-881134278.00
237	3.6274	65.79	882758740.00
238	3.4977	46.7025	883349836.00
239	3.9235	59.016	884743502.00
240	3.2981	77.4694	885936565.00
241	3.4952	82.4002	-887236105.50
242	3.7009	79.5117	-888784227.00
243	3.1873	69.6769	-893738623.00
244	3.3743	67.865	-898786340.50
245	3.61	66.1044	-900277738.50
246	3.6856	80.5997	900351182.00
247	3.4964	103.9673	-900719515.00
248	3.9623	75.8851	903923846.00
249	3.327	76.9301	904768095.00
250	3.8932	80.9798	-906484753.00
251	3.9174	66.2189	906569904.00
252	3.7144	67.6271	-906915971.00
253	3.2838	61.7437	907627319.00
254	3.5024	66.4446	908018918.00
255	3.6291	53.7466	908162999.50
256	3.0053	74.0241	908581156.00
257	3.6409	48.7248	-910396976.00
258	3.1361	70.6236	911437528.00
259	3.4959	71.6652	-911498196.00
260	3.7179	61.8077	-912729861.00
261	3.6158	106.5764	-913287692.80
262	3.7173	53.6168	-913378702.50
263	3.4665	48.4172	-913745587.00
264	4.0324	63.8208	-917193811.00
265	5.32	76.7563	-921247769.00
266	5.1493	78.075	-928005783.00
267	3.6257	84.9216	929630926.50
268	3.465	78.0995	-930934635.50
269	3.8014	75.5372	932671816.00
270	3.4687	94.4499	-933694810.00
271	3.6347	94.2692	934383277.50
272	3.5385	80.7747	935625552.00
273	3.8601	74.9269	-935679761.00
274	3.4617	54.8599	-940908274.50
275	4.8749	72.9902	941455838.80
276	5.3501	92.0784	942010971.50
277	3.5601	79.1358	-942551442.00
278	3.4671	82.372	-943707570.00
279	3.5931	73.4066	-943801778.00
280	3.1145	67.491	-945782777.00
281	3.6212	96.5219	-946957118.00
282	3.702	65.4491	-947424022.00
283	3.4358	68.4577	-950982119.00
284	3.8313	77.0914	-951724455.00
285	3.4903	54.9202	-951790113.50
286	3.7744	60.4565	-954672929.50
287	4.1756	96.7954	954746217.00
288	3.8378	66.4563	955749774.00
289	3.5303	74.2172	-958594779.00
290	3.641	84.6149	-958756130.00
291	3.8266	63.7441	959077065.00
292	3.8008	76.329	959132064.00
293	3.617	96.1791	-960800698.00
294	3.5044	60.7767	-961180073.50
295	2.9568	73.7186	-961573871.00
296	3.4668	41.2894	-962130695.50
297	3.919	62.1784	964031491.00
298	3.6213	91.8715	964649467.00
299	3.4178	95.8052	965794916.00
300	3.7913	95.9471	966004214.00
301	3.7174	96.749	-966432269.00
302	3.1405	94.926	968302250.30
303	3.7495	60.9854	-968524430.00
304	4.8822	69.2846	-968743004.50
305	3.4646	62.0854	-971841042.00
306	3.5363	74.3705	974245781.00
307	3.8404	73.0984	977040560.00
308	3.8043	58.6312	-977162711.50
309	3.4611	77.2253	-977761645.00
310	3.3781	60.5005	-983122546.00
311	3.5113	80.5524	-985786096.50
312	3.6224	82.5757	-986729618.00
313	3.4891	65.1351	987198061.00
314	3.4552	87.171	988870923.50
315	3.3908	72.2469	-990438273.00
316	4.0188	63.9672	-993323351.00
317	3.6007	92.1668	993707346.00
318	3.8367	96.0409	-995397093.00
319	3.5281	72.9188	996043152.00
320	3.6239	87.9627	-996141024.50
321	3.7567	70.6012	-1004187703.00
322	4.0357	77.426	1006423743.00
323	3.3744	59.9294	-1007260626.00
