HMBC    
72.9049    5.316
66.461    3.7242
54.4547    3.9194
72.7196    5.3392
59.4763    3.7977
70.8916    4.0996
59.4285    3.6399
53.3854    3.4803
71.0624    3.8269
92.0295    3.7278
63.0997    3.6761
61.1032    3.3806
71.6915    4.8805
63.6401    3.311
70.5817    3.4383
60.7376    3.7431
59.9841    3.3831
94.7941    3.3972
84.7242    3.4939
49.8312    3.6371
87.3311    3.5025
63.5573    3.4098
70.8019    3.5628
84.0716    3.9557
78.1567    5.1745
79.1928    4.0355
101.215    3.7144
76.5892    3.6925
56.1512    3.9224
97.3867    3.1546
78.2693    3.6925
74.0142    3.7628
68.6012    3.13
60.8034    3.4764
84.9697    3.9157
76.3474    3.9029
58.9825    3.4641
96.6266    3.7022
74.2355    3.5474
62.473    3.4759
49.3937    3.624
84.3292    3.4869
97.8075    3.8404
103.6457    3.4803
94.3457    3.6176
73.5938    3.6304
71.694    4.8561
76.8722    3.6785
71.828    5.2979
73.3707    3.773
60.7623    3.9598
78.1983    3.4996
69.0819    3.8659
54.9393    3.4992
80.8647    4.0407
67.7321    3.6561
92.0442    3.7189
104.2254    3.6601
73.1516    4.0457
88.6138    3.4858
75.1006    4.1523
53.6685    3.6433
53.6412    3.9262
61.3323    4.0002
76.6861    4.0615
70.3395    5.1631
104.1128    3.5188
74.3455    4.2208
60.0119    3.688
64.72    3.6337
58.3156    3.4958
97.7633    3.386
72.3301    3.2176
106.6288    3.5939
62.4864    3.5564
43.6376    3.4662
89.2653    3.9207
72.7861    3.5738
60.2023    3.6438
60.8484    3.5897
61.2435    3.8018
62.8568    3.6696
43.0951    3.6255
98.1012    3.4317
74.5763    3.7814
72.8663    3.351
106.4046    3.6446
105.8633    3.5698
46.1373    3.6247
88.1132    3.5916
67.9476    4.0964
101.7816    3.5975
65.6172    3.4866
46.6048    3.471
60.6541    3.5154
77.3953    3.3064
62.9257    3.8205
62.3613    3.877
89.1696    3.6083
53.9526    3.1059
74.6854    3.1545
85.6659    3.9242
87.4186    3.4835
80.4862    4.2582
96.105    3.6569
103.9696    3.6183
78.5227    3.9013
41.0802    3.6409
106.3684    3.9552
70.8442    3.4706
78.5081    5.3023
104.3396    3.6368
72.3018    3.5118
56.0537    3.6333
65.6885    3.4996
81.3095    5.1368
60.5629    4.026
61.0302    3.8785
73.4739    3.9051
64.229    3.9543
70.9531    3.4416
48.396    3.4861
83.5129    3.4542
92.7254    3.4965
75.39    3.8118
75.7806    3.4154
98.092    3.9006
69.0087    3.1141
53.4531    3.9583
60.6459    3.8173
106.316    3.634
99.861    3.647
100.0211    3.9601
103.3559    3.6476
71.1371    3.3891
71.3038    5.3678
71.0486    3.9293
101.9173    3.5897
77.3419    4.5499
78.3367    4.0233
100.72    3.9259
43.5704    3.4578
